A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,origin,control,rating,condition,awareness
6.585E-5,-0.002771,-2.291E-4,9.565E-5,-3.831E-4,2.157E-4,-3.723E-4,-1.078E-4,0.02498,-0.04184,-0.001088,-5.328E-5,-2.806E-4,5.405E-5,-9.766E-4,1.035E-4,junk,junk,junk,junk,junk
-2.0E-5,-0.002871,-2.098E-4,1.004E-4,-3.673E-4,2.155E-4,-3.392E-4,-1.215E-4,0.02524,-0.04233,-0.001092,-4.04E-5,-2.77E-4,5.3E-5,-9.572E-4,9.775E-5,junk,junk,junk,junk,junk
-1.845E-4,-0.002815,-1.788E-4,1.016E-4,-3.544E-4,2.272E-4,-3.364E-4,-1.085E-4,0.02549,-0.04282,-0.001076,-4.014E-5,-2.522E-4,4.886E-5,-9.215E-4,9.63E-5,junk,junk,junk,junk,junk
2.042E-4,-0.002969,-1.685E-4,1.064E-4,-3.237E-4,2.324E-4,-2.964E-4,-1.055E-4,0.02561,-0.04312,-0.001076,-3.071E-5,-2.568E-4,6.582E-5,-8.791E-4,9.047E-5,junk,junk,junk,junk,junk
-5.665E-5,-0.002749,-1.521E-4,1.086E-4,-2.955E-4,2.368E-4,-3.234E-4,-8.67E-5,0.02607,-0.04353,-0.001078,-2.16E-5,-2.426E-4,7.824E-5,-8.553E-4,9.263E-5,junk,junk,junk,junk,junk
-1.706E-4,-0.002529,-1.359E-4,1.107E-4,-2.569E-4,2.353E-4,-2.94E-4,-9.115E-5,0.02641,-0.04372,-0.001087,-4.513E-6,-2.34E-4,8.271E-5,-8.251E-4,8.808E-5,junk,junk,junk,junk,junk
-1.063E-4,-0.002519,-1.072E-4,1.09E-4,-2.181E-4,2.362E-4,-2.839E-4,-9.269E-5,0.02646,-0.04385,-0.001057,4.917E-6,-2.31E-4,1.052E-4,-8.414E-4,1.016E-4,junk,junk,junk,junk,junk
-5.655E-4,-0.002226,-9.622E-5,1.122E-4,-2.155E-4,2.458E-4,-2.625E-4,-1.081E-4,0.02654,-0.04397,-0.001048,1.284E-5,-2.356E-4,1.18E-4,-8.208E-4,1.054E-4,junk,junk,junk,junk,junk
-5.531E-4,-5.781E-4,7.474E-4,2.001E-4,9.869E-4,3.523E-4,7.93E-4,1.451E-5,0.0312,-0.04804,3.907E-4,1.626E-4,9.858E-4,2.535E-4,7.251E-4,5.34E-5,junk,junk,junk,junk,junk
-5.653E-4,-7.23E-4,7.433E-4,1.995E-4,9.684E-4,3.522E-4,8.171E-4,1.459E-5,0.03139,-0.04822,4.307E-4,1.634E-4,0.001,2.593E-4,7.436E-4,5.582E-5,junk,junk,junk,junk,junk
-8.211E-4,-8.686E-4,7.397E-4,1.987E-4,9.557E-4,3.493E-4,8.262E-4,9.609E-6,0.03129,-0.04808,4.458E-4,1.642E-4,0.001014,2.674E-4,7.519E-4,6.846E-5,junk,junk,junk,junk,junk
-7.986E-4,-0.001127,7.207E-4,1.96E-4,9.374E-4,3.537E-4,8.14E-4,1.275E-5,0.03132,-0.04799,4.447E-4,1.726E-4,0.001013,2.666E-4,7.562E-4,7.675E-5,junk,junk,junk,junk,junk
-7.9E-4,-0.001357,6.941E-4,1.978E-4,9.149E-4,3.518E-4,7.778E-4,2.255E-5,0.03098,-0.04774,4.632E-4,1.808E-4,0.00103,2.648E-4,7.626E-4,7.293E-5,junk,junk,junk,junk,junk
