Subject:	S203
Project:	glassroutes
Time:	2015-01-20_13-37-11

Matlab_now	Increasing Marker	BoxyTime	Marker	A-DC1	A-DC2	A-DC3	A-DC4	A-DC5	A-DC6	A-DC7	A-DC8	B-DC1	B-DC2	B-DC3	B-DC4	B-DC5	B-DC6	B-DC7	B-DC8
49041.207	0	2724.493	0	2064.000	408.100	65.360	16.080	1842.000	343.400	49.230	8.520	200.000	32.800	6.718	2.241	363.500	75.370	17.260	6.608	
49041.307	0	2724.577	0	2049.000	411.900	65.400	16.390	1839.000	340.000	49.280	8.604	200.200	33.030	6.805	2.280	366.900	76.550	17.370	6.637	
49041.416	0	2724.703	0	2058.000	406.000	64.490	15.900	1841.000	340.700	48.170	8.465	202.000	32.960	6.691	2.265	359.900	74.560	16.950	6.466	
49041.532	0	2724.788	0	2039.000	406.800	64.200	15.780	1830.000	338.400	48.510	8.522	203.500	32.790	6.732	2.241	357.000	74.040	16.740	6.367	
49041.631	0	2724.872	0	2044.000	402.300	63.900	15.770	1834.000	341.300	48.500	8.579	199.200	32.620	6.689	2.235	356.900	73.970	16.810	6.441	
49041.643	0	2724.935	0	2031.000	404.700	63.910	15.830	1841.000	342.700	48.370	8.582	198.900	32.570	6.707	2.260	357.800	74.320	16.770	6.423	
49041.751	0	2725.040	0	2039.000	404.100	64.710	15.860	1844.000	338.900	48.880	8.568	198.300	32.450	6.661	2.264	356.400	74.370	16.950	6.460	
49041.851	0	2725.124	0	2041.000	403.600	64.470	15.950	1837.000	337.700	48.710	8.611	196.900	32.440	6.682	2.276	358.700	74.130	17.040	6.511	
49041.864	0	2725.187	0	2049.000	403.700	65.270	15.980	1827.000	342.200	48.780	8.682	198.900	32.830	6.703	2.257	360.000	75.050	16.970	6.547	
49041.984	0	2725.271	0	2056.000	411.500	65.480	16.230	1839.000	342.300	49.110	8.666	203.300	32.800	6.658	2.256	362.600	75.330	17.320	6.613	
49042.084	0	2725.355	0	2054.000	411.900	64.850	16.330	1852.000	342.900	49.080	8.675	201.400	32.940	6.809	2.291	366.000	76.160	17.310	6.593	
49042.185	0	2725.439	0	2050.000	412.000	64.560	16.020	1841.000	338.400	48.850	8.584	202.500	33.110	6.704	2.234	358.300	74.910	17.030	6.548	
49042.254	0	2725.523	0	2036.000	406.200	64.060	15.960	1849.000	342.400	48.880	8.559	201.400	32.840	6.722	2.269	357.400	74.120	16.730	6.460	
49042.266	0	2725.606	0	2044.000	403.200	64.800	16.130	1838.000	341.600	49.290	8.575	197.600	32.580	6.718	2.263	358.200	74.630	17.100	6.483	
49042.395	0	2725.690	0	2055.000	406.800	64.820	15.980	1842.000	340.900	48.970	8.590	202.200	32.780	6.694	2.260	358.500	74.660	16.850	6.474	
49042.487	0	2725.774	0	2033.000	405.800	64.730	16.020	1831.000	342.900	49.000	8.565	199.000	32.810	6.741	2.256	358.200	74.100	16.940	6.513	
49042.566	0	2725.901	0	2050.000	409.500	64.180	16.250	1842.000	340.700	49.210	8.611	200.200	32.790	6.753	2.254	359.500	74.360	17.090	6.520	
49042.630	0	2725.985	0	2053.000	410.800	65.290	16.210	1846.000	343.800	48.770	8.710	200.400	32.900	6.662	2.274	363.000	75.440	17.130	6.554	
49042.747	0	2726.048	0	2071.000	414.800	65.920	16.190	1848.000	340.900	48.470	8.772	201.200	32.950	6.805	2.271	365.400	76.110	17.500	6.703	
49042.844	0	2726.132	0	2064.000	415.900	64.820	16.250	1842.000	344.000	48.960	8.674	200.600	32.920	6.772	2.295	360.800	74.700	17.160	6.532	
49042.945	0	2726.216	0	2046.000	406.400	64.110	16.000	1851.000	340.100	48.710	8.634	199.000	32.510	6.683	2.245	357.900	74.330	16.940	6.470	
49043.061	0	2726.300	0	2059.000	406.600	64.810	15.940	1845.000	342.300	48.880	8.680	201.000	32.810	6.732	2.240	356.300	73.850	16.950	6.426	
49043.163	0	2726.384	0	2049.000	411.100	65.140	16.090	1834.000	343.700	49.580	8.648	199.900	32.680	6.667	2.274	356.900	74.240	16.960	6.511	
49043.176	0	2726.468	0	2048.000	406.800	65.000	16.050	1840.000	342.300	49.090	8.652	200.600	32.560	6.702	2.278	356.600	74.400	16.900	6.460	
49043.281	0	2726.552	0	2048.000	410.900	65.610	15.990	1850.000	342.800	48.670	8.690	197.500	32.740	6.733	2.267	358.700	74.540	16.990	6.502	
49043.378	0	2726.636	0	2062.000	412.100	65.880	16.250	1847.000	345.600	49.220	8.681	202.500	32.770	6.787	2.278	360.300	74.820	17.230	6.558	
49043.440	0	2726.721	0	2061.000	413.400	65.360	16.480	1833.000	341.000	49.080	8.719	204.300	32.830	6.754	2.271	361.500	75.100	17.290	6.640	
49043.452	0	2726.805	0	2061.000	415.700	66.350	16.340	1864.000	342.700	49.380	8.606	203.600	32.960	6.784	2.270	363.800	75.700	17.120	6.531	
49043.851	0	2727.161	0	2051.000	406.900	1.403	-0.307	-10.550	-0.407	-0.054	-0.005	199.100	32.470	0.316	-0.100	-0.972	-0.187	-0.058	-0.025	
49043.961	0	2727.245	0	-0.509	-0.158	-0.029	-0.008	-0.278	-0.047	-0.019	-0.003	-1.636	-0.051	-0.027	-0.015	-0.206	-0.128	-0.053	-0.024	
49044.062	0	2727.329	0	-0.292	-0.100	-0.023	-0.007	-0.163	-0.037	-0.022	-0.003	-1.540	-0.050	-0.026	-0.014	-0.193	-0.127	-0.051	-0.024	
49044.259	0	2727.581	0	-0.159	1.113	0.444	0.051	5.622	1.076	0.140	0.024	-1.478	-0.049	-0.026	-0.012	1.064	0.247	0.038	0.010	
49044.360	0	2727.665	0	6.241	1.174	0.183	0.045	5.525	1.038	0.137	0.024	-0.421	0.117	0.009	-0.002	1.608	0.251	0.036	0.009	
49044.457	0	2727.728	0	6.131	1.169	0.179	0.045	5.601	1.035	0.138	0.024	-0.448	0.117	0.008	-0.002	1.607	0.245	0.034	0.009	
49044.745	0	2728.065	0	203.700	40.690	6.403	1.591	184.100	34.130	4.910	0.868	32.820	5.469	1.127	0.378	59.640	12.360	2.783	1.070	
49044.844	0	2728.149	0	204.000	40.720	6.468	1.612	185.300	34.330	4.911	0.875	32.980	5.459	1.129	0.380	59.860	12.430	2.824	1.073	
49044.941	0	2728.233	0	204.800	40.900	6.480	1.610	185.300	34.360	4.957	0.873	33.110	5.532	1.139	0.378	60.070	12.480	2.855	1.085	
49045.180	0	2728.506	0	813.200	176.800	27.860	6.886	793.000	147.400	21.090	3.698	32.130	2.491	4.193	1.625	253.700	52.150	11.950	4.580	
49045.284	0	2728.589	0	874.700	174.700	27.600	6.797	794.500	146.400	21.080	3.729	139.700	23.160	4.781	1.624	251.600	51.850	11.810	4.537	
49045.400	0	2728.673	0	886.300	172.600	27.470	6.836	795.100	147.200	21.090	3.741	142.300	23.190	4.808	1.618	250.400	52.030	11.810	4.517	
49045.623	0	2728.926	0	533.700	209.100	59.740	14.690	1695.000	316.700	45.700	8.024	142.100	23.220	3.394	1.558	463.100	110.800	25.160	9.762	
49045.720	0	2729.010	0	1917.000	376.500	60.130	14.940	1721.000	320.100	46.040	8.126	302.900	49.270	10.270	3.491	467.100	110.800	25.330	9.691	
49045.836	0	2729.094	0	1903.000	379.400	60.120	15.120	1710.000	322.000	45.820	8.155	300.800	49.700	10.280	3.510	469.600	112.000	25.600	9.756	
49046.029	0	2729.346	0	1919.000	383.700	61.320	15.400	821.200	441.400	69.470	12.050	129.200	25.580	4.896	1.666	259.200	53.460	12.210	4.638	
49046.120	0	2729.409	0	2894.000	574.300	90.440	22.540	2559.000	475.900	68.480	12.100	145.100	23.180	4.816	1.641	251.300	52.290	11.920	4.543	
49046.229	0	2729.535	0	2882.000	573.100	90.220	22.220	2555.000	477.500	68.530	12.020	141.500	23.060	4.785	1.624	248.600	51.990	11.870	4.492	
49046.452	0	2729.788	0	2853.000	384.800	68.850	15.900	1851.000	338.800	48.300	8.555	140.500	22.820	4.826	1.601	251.500	52.280	12.040	3.968	
49046.565	0	2729.872	0	2031.000	405.400	64.540	16.010	1842.000	343.900	49.130	8.610	150.700	28.000	5.906	1.986	306.600	64.180	14.630	5.608	
49046.665	0	2729.956	0	2046.000	412.200	65.070	16.280	1836.000	343.000	49.740	8.540	173.800	28.270	5.831	1.983	308.900	64.010	14.750	5.637	
