A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,feedback1,feedback2,condition
-0.005386,-0.003104,5.131E-4,-0.002065,2.565E-5,-0.001537,-6.211E-4,-7.742E-4,-1.935E-6,0.002133,-3.107E-4,6.871E-4,-3.624E-4,4.439E-4,-3.904E-4,5.359E-4,two,one,junk
-0.00621,-0.003161,-3.842E-5,-0.002091,-8.154E-4,-0.001515,-0.001239,-8.195E-4,8.738E-4,0.001895,-1.508E-4,6.864E-4,-2.258E-4,4.161E-4,-2.164E-4,5.443E-4,two,one,junk
-0.005532,-0.003056,3.543E-4,-0.002074,-3.779E-4,-0.001542,-0.001029,-7.987E-4,1.108E-4,0.002056,-9.051E-5,6.559E-4,-2.681E-4,4.276E-4,-1.706E-4,5.18E-4,two,one,junk
-0.004673,-0.003048,7.309E-4,-0.002037,1.95E-4,-0.001539,-3.392E-4,-8.169E-4,-4.44E-4,0.002334,-1.634E-4,7.057E-4,-3.003E-4,4.317E-4,-2.828E-4,5.532E-4,two,one,junk
-0.005065,-0.00292,6.349E-4,-0.002018,-5.722E-4,-0.001491,-0.001285,-8.0E-4,-4.8E-6,0.002344,3.056E-5,6.85E-4,-1.741E-4,4.357E-4,-8.216E-5,5.483E-4,two,one,junk
-0.002624,-0.003088,0.002416,-0.001877,7.566E-4,-0.001335,4.415E-5,-6.87E-4,5.617E-4,0.002248,2.45E-5,7.121E-4,-2.157E-4,4.472E-4,-7.719E-5,5.547E-4,two,one,junk
-0.003107,-0.003277,0.002621,-0.001764,0.001183,-0.001306,3.929E-4,-6.206E-4,7.956E-4,0.00228,1.088E-5,7.376E-4,-2.263E-4,4.439E-4,-1.503E-4,5.618E-4,two,one,junk
-0.003655,-0.003227,0.002187,-0.001772,3.182E-4,-0.001273,-3.051E-4,-6.199E-4,5.756E-4,0.002416,1.765E-4,7.03E-4,-7.668E-5,4.281E-4,1.084E-5,5.606E-4,two,one,junk
-0.002717,-0.003176,0.002672,-0.001709,0.001255,-0.001306,4.953E-4,-5.947E-4,7.327E-4,0.002439,1.44E-4,6.877E-4,-1.715E-4,4.08E-4,-4.887E-5,5.4E-4,two,one,junk
-0.003267,-0.003088,0.002515,-0.00172,0.001085,-0.001252,4.581E-4,-5.904E-4,0.001319,0.002438,1.453E-4,7.117E-4,-1.62E-4,4.188E-4,-4.132E-5,5.447E-4,two,one,junk
-0.003292,-0.003087,0.002243,-0.001715,7.106E-4,-0.001306,1.379E-5,-5.844E-4,0.00195,0.002525,1.939E-4,8.296E-4,-3.571E-5,5.111E-4,1.002E-4,6.347E-4,two,one,junk
-0.002972,-0.003025,0.002488,-0.001687,0.001414,-0.00129,8.207E-4,-5.943E-4,0.002649,0.002355,1.466E-4,8.855E-4,-1.193E-4,5.764E-4,-5.006E-5,6.935E-4,two,one,junk
-0.003841,-0.003045,0.001893,-0.001685,7.224E-4,-0.001301,1.771E-4,-5.965E-4,0.002125,0.0024,1.936E-4,8.282E-4,-6.101E-5,5.613E-4,2.172E-5,6.693E-4,two,one,junk
-0.002973,-0.003041,0.002283,-0.00169,8.879E-4,-0.001278,3.635E-4,-6.064E-4,0.001917,0.002458,6.208E-5,8.604E-4,-1.821E-4,5.625E-4,-1.065E-4,6.791E-4,two,one,junk
-0.002738,-0.003018,0.002443,-0.001643,0.00164,-0.001324,0.001077,-5.96E-4,0.002174,0.002524,1.227E-4,8.42E-4,-8.35E-5,5.44E-4,-5.082E-6,6.843E-4,two,one,junk
-0.003821,-0.002975,0.001848,-0.001657,3.238E-4,-0.001272,-1.345E-4,-5.763E-4,0.002155,0.002591,3.21E-5,8.214E-4,-2.297E-4,5.558E-4,-1.241E-4,6.665E-4,two,one,junk
-0.002759,-0.003004,0.002269,-0.001624,8.491E-4,-0.001288,3.688E-4,-6.09E-4,0.001572,0.002837,7.444E-5,9.112E-4,-7.438E-5,6.428E-4,-2.985E-5,7.494E-4,two,one,junk
-0.002223,-0.002957,0.002626,-0.001616,0.001496,-0.00128,9.691E-4,-5.598E-4,6.375E-4,0.003141,2.126E-5,9.474E-4,-5.997E-5,7.071E-4,3.212E-5,7.597E-4,two,one,junk
-0.00274,-0.002952,0.002135,-0.001588,6.454E-4,-0.001274,1.819E-4,-5.936E-4,8.167E-4,0.003337,9.913E-6,0.001044,-2.291E-5,8.077E-4,-7.94E-5,8.736E-4,two,one,junk
-0.002,-0.00288,0.002557,-0.001595,0.001372,-0.001299,8.558E-4,-5.873E-4,0.001322,0.00343,1.404E-4,0.001201,3.307E-4,9.289E-4,1.52E-4,9.623E-4,two,one,junk
-0.002352,-0.002868,0.002092,-0.001539,8.945E-4,-0.001252,5.024E-4,-6.211E-4,8.944E-4,0.003291,8.441E-5,0.001084,2.192E-4,9.058E-4,-3.593E-5,9.61E-4,two,one,junk
-0.001243,-0.002747,0.002565,-0.00158,0.001029,-0.001226,5.912E-4,-5.874E-4,0.001018,0.003048,1.627E-4,0.001009,3.583E-4,8.503E-4,6.033E-5,9.414E-4,two,one,junk
-1.491E-4,-0.002787,0.003023,-0.001571,0.001915,-0.00119,0.001502,-5.321E-4,7.04E-4,0.002957,-4.251E-5,0.001038,9.256E-5,8.091E-4,-8.71E-5,9.115E-4,two,one,junk
-0.001381,-0.002642,0.002331,-0.001582,7.931E-4,-0.001208,4.035E-4,-5.297E-4,4.877E-4,0.002828,-9.875E-5,9.789E-4,-5.052E-5,7.298E-4,-1.77E-4,8.642E-4,two,one,junk
-5.074E-4,-0.002588,0.002701,-0.001568,0.001463,-0.001135,0.001151,-5.102E-4,6.334E-4,0.002849,-1.182E-4,9.722E-4,-6.063E-5,7.197E-4,-1.155E-4,8.398E-4,two,one,junk
-8.754E-4,-0.002593,0.002229,-0.001574,0.001262,-0.001154,8.075E-4,-4.329E-4,-1.609E-4,0.002997,-2.24E-4,9.944E-4,-2.085E-4,7.398E-4,-2.644E-4,8.456E-4,two,one,junk
-0.003553,-0.002461,4.898E-4,-0.001654,-1.506E-4,-0.001279,-2.589E-4,-6.766E-4,-3.389E-4,0.003114,-4.404E-6,9.744E-4,-7.803E-5,6.949E-4,-1.397E-4,8.316E-4,two,one,junk
-0.00376,-0.002353,4.857E-5,-0.001727,2.846E-4,-0.001413,1.341E-5,-8.148E-4,2.29E-5,0.003047,-2.429E-5,9.579E-4,-1.162E-4,6.827E-4,-1.489E-4,8.215E-4,two,one,junk
-0.003939,-0.002337,-2.091E-4,-0.001733,-7.666E-4,-0.001275,-8.104E-4,-7.6E-4,3.362E-4,0.002993,-5.724E-5,9.807E-4,-1.487E-4,6.749E-4,-2.119E-4,8.347E-4,two,one,junk
-0.002895,-0.00241,2.609E-4,-0.001693,6.36E-5,-0.001254,-1.385E-4,-7.711E-4,8.712E-4,0.002872,5.835E-5,9.561E-4,-8.838E-5,6.801E-4,-8.897E-5,8.066E-4,junk,junk,junk
-0.004089,-0.002305,-2.682E-4,-0.001731,-7.071E-4,-0.001236,-8.124E-4,-7.458E-4,8.944E-4,0.002784,-7.51E-5,9.263E-4,-2.33E-4,6.14E-4,-2.663E-4,7.94E-4,junk,junk,gaze
0.01274,-0.001857,0.01319,-0.002231,0.007109,-3.032E-4,0.004274,-4.896E-5,0.00986,-0.001164,0.002608,-5.467E-4,0.001415,-4.994E-4,0.002222,-4.981E-4,junk,junk,gaze
0.01337,-0.001748,0.01403,-0.002173,0.008472,-2.544E-4,0.005504,-2.467E-5,0.009323,-0.001131,0.00244,-5.47E-4,0.00124,-4.851E-4,0.002061,-4.794E-4,junk,junk,gaze
0.01188,-0.001805,0.01288,-0.002244,0.006558,-2.362E-4,0.003948,-4.929E-7,0.009011,-0.001059,0.002431,-5.335E-4,0.001263,-4.933E-4,0.002046,-4.878E-4,junk,junk,gaze
0.01318,-0.00177,0.01341,-0.002215,0.007221,-2.64E-4,0.004408,-4.448E-5,0.009236,-0.00106,0.002645,-5.468E-4,0.001376,-5.104E-4,0.002268,-5.026E-4,junk,junk,gaze
0.01363,-0.001607,0.01408,-0.002136,0.00853,-2.173E-4,0.005507,4.762E-6,0.009255,-0.001051,0.002402,-5.531E-4,0.001245,-5.176E-4,0.002013,-5.03E-4,junk,junk,gaze
0.01174,-0.001616,0.01288,-0.002211,0.006556,-2.047E-4,0.003889,2.809E-5,0.007892,-7.249E-4,0.00245,-5.208E-4,0.001268,-4.809E-4,0.002039,-4.796E-4,junk,junk,gaze
0.01269,-0.001624,0.01327,-0.002183,0.007031,-2.16E-4,0.004225,-1.011E-5,0.00822,-7.715E-4,0.002644,-5.267E-4,0.001427,-5.184E-4,0.002258,-4.804E-4,junk,junk,gaze
0.01265,-0.00159,0.01354,-0.002124,0.007982,-1.777E-4,0.005034,3.063E-5,0.008232,-7.448E-4,0.002377,-5.187E-4,0.001233,-4.865E-4,0.002063,-4.986E-4,junk,junk,gaze
0.01043,-0.001646,0.01213,-0.00224,0.005728,-2.324E-4,0.003186,1.078E-5,0.008541,-6.993E-4,0.002555,-5.398E-4,0.001334,-4.872E-4,0.002141,-4.798E-4,junk,junk,gaze
