A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,accuracy,feedback1,feedback2,condition
-0.03003,-0.00357,-0.007646,-0.001924,-0.005159,-0.002059,-0.005889,-0.002262,0.004309,0.003857,2.501E-5,-6.053E-4,0.00132,-4.939E-5,9.873E-4,-7.854E-5,lessthanfifty,junk,junk,junk
-0.0327,-0.003706,-0.007968,-0.002016,-0.005913,-0.002203,-0.006486,-0.002346,0.003409,0.00383,-9.055E-5,-6.253E-4,0.001154,-1.439E-4,8.921E-4,-8.101E-5,lessthanfifty,junk,junk,junk
-0.03317,-0.003887,-0.008442,-0.002045,-0.005866,-0.002237,-0.006606,-0.002375,0.00262,0.003802,-2.51E-4,-6.985E-4,9.262E-4,-1.336E-4,7.444E-4,-1.668E-4,lessthanfifty,junk,junk,junk
-0.03353,-0.003777,-0.008258,-0.00206,-0.005934,-0.002187,-0.006492,-0.002404,0.002878,0.003814,-1.092E-4,-7.009E-4,0.001276,-1.748E-4,9.422E-4,-1.483E-4,lessthanfifty,junk,junk,junk
-0.03297,-0.003787,-0.008173,-0.001999,-0.006044,-0.002211,-0.006791,-0.002347,0.002558,0.004045,-1.374E-4,-6.54E-4,0.001102,-1.037E-4,9.135E-4,-9.944E-5,lessthanfifty,junk,junk,junk
-0.03192,-0.00368,-0.008024,-0.001991,-0.005551,-0.00209,-0.006241,-0.002286,0.002461,0.004034,-1.054E-4,-7.715E-4,0.001234,-2.189E-4,9.344E-4,-2.753E-4,lessthanfifty,junk,junk,junk
-0.03206,-0.003626,-0.007772,-0.001929,-0.005665,-0.002121,-0.006228,-0.002274,0.00198,0.003884,2.532E-5,-8.948E-4,0.001161,-3.81E-4,8.749E-4,-3.93E-4,lessthanfifty,junk,junk,junk
-0.03167,-0.003685,-0.008034,-0.001986,-0.005795,-0.002111,-0.006701,-0.002286,0.001201,0.003569,-6.017E-5,-0.001055,9.774E-4,-5.057E-4,6.546E-4,-5.694E-4,lessthanfifty,junk,junk,junk
-0.02914,-0.003378,-0.007059,-0.001801,-0.004894,-0.001884,-0.005538,-0.00206,0.003368,0.003348,4.358E-5,-0.001042,0.0013,-5.091E-4,9.447E-4,-5.85E-4,lessthanfifty,junk,junk,junk
-0.02774,-0.003332,-0.006796,-0.00173,-0.00489,-0.001874,-0.00557,-0.00204,0.0036,0.003541,5.852E-5,-9.43E-4,0.00123,-3.704E-4,9.267E-4,-3.742E-4,lessthanfifty,junk,junk,junk
-0.02786,-0.003288,-0.006975,-0.001795,-0.004673,-0.001868,-0.005493,-0.002043,0.004045,0.003691,1.781E-4,-8.537E-4,0.001574,-1.866E-4,0.001198,-2.658E-4,lessthanfifty,junk,junk,junk
-0.02999,-0.003337,-0.007269,-0.001832,-0.00521,-0.001986,-0.005694,-0.002155,0.004179,0.003513,3.037E-4,-7.883E-4,0.001669,-1.653E-4,0.001151,-1.009E-4,lessthanfifty,junk,junk,junk
-0.02957,-0.003445,-0.007504,-0.0019,-0.00535,-0.002002,-0.006406,-0.002141,0.004073,0.003773,1.565E-4,-7.646E-4,0.001523,-4.732E-5,0.001231,-5.552E-5,lessthanfifty,junk,junk,junk
-0.03026,-0.003332,-0.007427,-0.001882,-0.005158,-0.001978,-0.005694,-0.002182,0.00482,0.003891,2.686E-4,-6.557E-4,0.002026,3.217E-5,0.001498,7.791E-5,lessthanfifty,junk,junk,junk
-0.02951,-0.00342,-0.007306,-0.001842,-0.005258,-0.002005,-0.005985,-0.002133,0.006488,0.003654,2.824E-4,-6.526E-4,0.001862,4.843E-5,0.001491,7.199E-5,lessthanfifty,junk,junk,junk
-0.03111,-0.003553,-0.007927,-0.001997,-0.005765,-0.002073,-0.006746,-0.002301,0.006132,0.003566,1.677E-4,-7.539E-4,0.001671,-4.556E-5,0.001276,-7.462E-5,lessthanfifty,junk,junk,junk
-0.03307,-0.003772,-0.008042,-0.002034,-0.00592,-0.002187,-0.006447,-0.002319,0.005687,0.003467,3.201E-4,-8.954E-4,0.001784,-2.901E-4,0.001321,-2.453E-4,lessthanfifty,junk,junk,junk
-0.03312,-0.003916,-0.00843,-0.002119,-0.006107,-0.002252,-0.007117,-0.002413,0.004966,0.003388,1.762E-4,-0.001065,0.001379,-4.33E-4,0.001035,-4.754E-4,lessthanfifty,junk,junk,junk
-0.03441,-0.003859,-0.008451,-0.002126,-0.006172,-0.00223,-0.006843,-0.002421,0.005055,0.003122,-1.674E-5,-0.0011,0.001126,-5.371E-4,8.415E-4,-5.637E-4,lessthanfifty,junk,junk,junk
-0.03536,-0.004177,-0.008794,-0.002188,-0.006501,-0.002384,-0.007194,-0.002517,0.004564,0.003124,1.762E-4,-0.00122,0.001377,-6.856E-4,9.989E-4,-6.967E-4,lessthanfifty,junk,junk,junk
-0.03749,-0.004025,-0.009432,-0.002328,-0.007046,-0.002411,-0.008007,-0.002637,0.004105,0.00307,5.913E-5,-0.001308,0.001142,-7.598E-4,7.976E-4,-8.27E-4,lessthanfifty,junk,junk,junk
-0.03699,-0.004188,-0.009098,-0.002203,-0.006688,-0.00242,-0.007181,-0.002539,0.003633,0.003175,-8.017E-5,-0.001199,9.439E-4,-6.637E-4,7.622E-4,-6.516E-4,lessthanfifty,junk,junk,junk
-0.03376,-0.003841,-0.0086,-0.002097,-0.006195,-0.002225,-0.007134,-0.002405,0.00417,0.003229,1.085E-4,-0.001116,0.001464,-4.706E-4,0.001084,-4.922E-4,lessthanfifty,junk,junk,junk
-0.03218,-0.003625,-0.007951,-0.00198,-0.005692,-0.002084,-0.006398,-0.002267,0.004538,0.003374,1.017E-4,-9.134E-4,0.001563,-2.443E-4,0.001178,-2.129E-4,lessthanfifty,junk,junk,junk
-0.02998,-0.003599,-0.007457,-0.001862,-0.00526,-0.002046,-0.005901,-0.002182,0.004846,0.00347,4.959E-5,-8.179E-4,0.001558,-1.317E-4,0.001279,-8.011E-5,lessthanfifty,junk,junk,junk
-0.02917,-0.003397,-0.007445,-0.001884,-0.005261,-0.001983,-0.006281,-0.002186,0.004693,0.003569,1.598E-4,-8.182E-4,0.001815,-1.054E-4,0.001375,-7.76E-5,lessthanfifty,junk,junk,junk
-0.03241,-0.003714,-0.0079,-0.001994,-0.005739,-0.002177,-0.006235,-0.002304,0.003835,0.003685,3.477E-7,-8.471E-4,0.001436,-1.787E-4,0.001205,-1.235E-4,lessthanfifty,junk,junk,junk
-0.03239,-0.003722,-0.008296,-0.002021,-0.005937,-0.002182,-0.006984,-0.002349,0.003182,0.003725,5.85E-7,-9.729E-4,0.001567,-2.739E-4,0.001329,-3.082E-4,lessthanfifty,junk,junk,junk
-0.03219,-0.003697,-0.007901,-0.002008,-0.00578,-0.002111,-0.006526,-0.002311,0.002689,0.003758,-1.232E-4,-0.001083,0.001485,-4.214E-4,0.00115,-4.043E-4,lessthanfifty,junk,junk,junk
-0.03081,-0.003669,-0.007573,-0.001894,-0.005419,-0.002081,-0.006193,-0.002186,0.001698,0.003763,-3.621E-4,-0.00122,0.001044,-5.459E-4,9.869E-4,-5.861E-4,lessthanfifty,junk,junk,junk
-0.0299,-0.003604,-0.007552,-0.001933,-0.005391,-0.001996,-0.006401,-0.002209,0.001633,0.003772,-3.95E-4,-0.001264,0.001095,-5.535E-4,9.331E-4,-6.377E-4,lessthanfifty,junk,junk,junk
-0.03024,-0.003613,-0.00719,-0.001866,-0.005153,-0.002001,-0.005711,-0.002112,0.002768,0.003531,-5.999E-4,-0.001243,8.877E-4,-6.215E-4,8.558E-4,-6.342E-4,lessthanfifty,junk,junk,junk
-0.02932,-0.003709,-0.007452,-0.001904,-0.005233,-0.001995,-0.006317,-0.002154,0.003031,0.003427,-6.092E-4,-0.001402,8.549E-4,-7.397E-4,7.615E-4,-8.616E-4,lessthanfifty,junk,junk,junk
-0.03068,-0.003593,-0.007336,-0.001912,-0.005217,-0.001994,-0.005878,-0.002166,0.002143,0.003373,-8.038E-4,-0.001487,5.416E-4,-9.182E-4,5.355E-4,-0.001043,lessthanfifty,junk,junk,junk
-0.03025,-0.003777,-0.007367,-0.001879,-0.005211,-0.00202,-0.005931,-0.00211,0.002322,0.003466,-6.206E-4,-0.001446,8.644E-4,-8.299E-4,7.679E-4,-9.141E-4,lessthanfifty,junk,junk,junk
-0.02796,-0.003438,-0.006857,-0.001809,-0.004769,-0.001833,-0.005775,-0.002043,0.002574,0.003651,-6.623E-4,-0.001276,9.869E-4,-6.003E-4,8.746E-4,-7.381E-4,lessthanfifty,junk,junk,junk
-0.02858,-0.003594,-0.006809,-0.001762,-0.004741,-0.001885,-0.00527,-0.002002,0.002773,0.003881,-3.19E-4,-0.001055,0.001465,-4.173E-4,0.001199,-4.27E-4,lessthanfifty,junk,junk,junk
-0.02871,-0.00351,-0.007193,-0.001822,-0.004925,-0.001923,-0.0059,-0.00211,0.003022,0.004107,-1.44E-4,-9.247E-4,0.001513,-1.993E-4,0.001227,-2.778E-4,lessthanfifty,junk,junk,junk
-0.03017,-0.003529,-0.0073,-0.00187,-0.005265,-0.001938,-0.006059,-0.002163,0.003155,0.004224,8.34E-6,-8.18E-4,0.001744,-1.796E-4,0.001351,-1.798E-4,lessthanfifty,junk,junk,junk
-0.02969,-0.003572,-0.007243,-0.001834,-0.005038,-0.001963,-0.005737,-0.002079,0.00314,0.004376,9.772E-5,-7.709E-4,0.00178,-1.472E-4,0.001397,-1.448E-4,lessthanfifty,junk,junk,junk
-0.02905,-0.003397,-0.007322,-0.001848,-0.005098,-0.001908,-0.006192,-0.002141,0.004542,0.004144,1.043E-4,-7.793E-4,0.001756,-1.559E-4,0.001322,-1.963E-4,lessthanfifty,junk,junk,junk
-0.02919,-0.00338,-0.006949,-0.001795,-0.004925,-0.001901,-0.005481,-0.002037,0.00461,0.004045,2.313E-4,-8.34E-4,0.001749,-3.16E-4,0.001368,-2.816E-4,lessthanfifty,junk,junk,junk
-0.02736,-0.003188,-0.006926,-0.00172,-0.004615,-0.001815,-0.005709,-0.001979,0.003748,0.004028,8.587E-5,-0.001007,0.001319,-4.107E-4,0.001081,-4.857E-4,lessthanfifty,junk,junk,junk
-0.02739,-0.003229,-0.006649,-0.001745,-0.004681,-0.001787,-0.005435,-0.002026,0.003421,0.003935,2.199E-4,-0.001123,0.001504,-6.428E-4,0.001103,-6.329E-4,lessthanfifty,junk,junk,junk
-0.0271,-0.003222,-0.00668,-0.001683,-0.004473,-0.001831,-0.005297,-0.001921,0.00312,0.003887,2.199E-4,-0.001219,0.001247,-7.458E-4,0.001066,-8.155E-4,lessthanfifty,junk,junk,junk
-0.02572,-0.00305,-0.006457,-0.001712,-0.004413,-0.001724,-0.005557,-0.001967,0.004319,0.003579,3.897E-5,-0.001234,0.001062,-7.292E-4,8.503E-4,-8.001E-4,lessthanfifty,junk,junk,junk
-0.02673,-0.003258,-0.006377,-0.001696,-0.004467,-0.001781,-0.005143,-0.001902,0.00496,0.003591,1.935E-4,-0.001135,0.001424,-6.343E-4,0.001231,-6.223E-4,lessthanfifty,junk,junk,junk
-0.02529,-0.003136,-0.006401,-0.001631,-0.004145,-0.001674,-0.005139,-0.001849,0.005623,0.003863,2.509E-4,-9.912E-4,0.001556,-3.561E-4,0.001344,-3.839E-4,lessthanfifty,junk,junk,junk
