A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,feedback1,feedback2,condition
0.0153,-8.332E-4,0.006293,2.816E-4,0.004857,5.97E-4,0.003872,7.711E-4,0.003481,-0.002203,0.003285,-0.001121,0.002619,-0.001424,0.001889,-6.961E-4,junk,junk,gaze
0.01533,-8.27E-4,0.00625,2.966E-4,0.004986,6.099E-4,0.003784,7.64E-4,0.002784,-0.0022,0.002913,-0.00109,0.002228,-0.001425,0.001538,-6.683E-4,junk,junk,gaze
0.0149,-9.496E-4,0.005694,2.389E-4,0.004461,5.591E-4,0.003517,7.908E-4,0.003012,-0.002272,0.003195,-0.001044,0.002497,-0.001398,0.001852,-6.86E-4,junk,junk,gaze
0.01532,-8.001E-4,0.006339,2.569E-4,0.004977,6.105E-4,0.003888,7.562E-4,0.003275,-0.002534,0.003116,-0.001055,0.002566,-0.001405,0.001858,-7.053E-4,junk,junk,gaze
0.01518,-8.315E-4,0.00637,2.737E-4,0.005127,5.725E-4,0.003945,7.496E-4,0.00263,-0.002477,0.002664,-0.00103,0.001982,-0.001402,0.001407,-6.97E-4,junk,junk,gaze
0.01393,-8.912E-4,0.005442,2.302E-4,0.004209,5.412E-4,0.00344,7.492E-4,0.002577,-0.002468,0.002873,-0.001005,0.002266,-0.001417,0.001618,-6.722E-4,junk,junk,gaze
0.01513,-8.419E-4,0.00612,2.32E-4,0.004871,5.719E-4,0.003817,7.218E-4,0.002738,-0.002556,0.002698,-0.001027,0.002299,-0.001413,0.001578,-7.089E-4,junk,junk,gaze
0.01471,-7.978E-4,0.006404,2.801E-4,0.004991,5.633E-4,0.003995,7.475E-4,0.00225,-0.002514,0.002394,-0.001016,0.001874,-0.001413,0.001284,-6.705E-4,junk,junk,gaze
0.01379,-9.029E-4,0.005345,1.777E-4,0.00413,5.446E-4,0.003366,7.217E-4,0.002705,-0.002604,0.002586,-0.001024,0.002188,-0.001404,0.001505,-6.715E-4,junk,junk,gaze
0.01473,-9.02E-4,0.005747,2.329E-4,0.004678,5.494E-4,0.003621,7.293E-4,0.003152,-0.002784,0.002336,-0.001053,0.001957,-0.001418,0.001303,-6.809E-4,junk,junk,gaze
0.0145,-8.43E-4,0.006286,2.556E-4,0.004844,5.659E-4,0.003967,7.315E-4,0.003736,-0.002879,0.002364,-0.001054,0.001965,-0.001413,0.001397,-6.687E-4,junk,junk,gaze
0.01365,-9.711E-4,0.005276,1.928E-4,0.004143,5.499E-4,0.00329,7.01E-4,0.003813,-0.0028,0.002474,-0.001092,0.002151,-0.001421,0.00148,-6.987E-4,junk,junk,gaze
0.01424,-9.672E-4,0.005636,2.346E-4,0.004455,5.156E-4,0.003571,7.245E-4,0.003536,-0.002704,0.002329,-0.001088,0.001848,-0.001432,0.001289,-6.758E-4,junk,junk,gaze
0.01431,-9.494E-4,0.00623,2.363E-4,0.004759,5.537E-4,0.003859,7.096E-4,0.003956,-0.002638,0.002581,-0.001072,0.002195,-0.001391,0.001575,-6.668E-4,junk,junk,gaze
0.01361,-0.001009,0.005261,1.616E-4,0.004156,5.078E-4,0.003254,7.062E-4,0.003949,-0.002477,0.002582,-0.00108,0.002245,-0.001406,0.001539,-6.766E-4,junk,junk,gaze
0.01385,-9.957E-4,0.005734,1.939E-4,0.004373,5.044E-4,0.00363,6.98E-4,0.00436,-0.002463,0.002485,-0.001058,0.001967,-0.001401,0.00135,-6.228E-4,junk,junk,gaze
0.01459,-9.543E-4,0.006139,2.261E-4,0.004798,5.542E-4,0.003832,6.882E-4,0.004547,-0.002291,0.002824,-0.001032,0.002352,-0.001363,0.001653,-6.093E-4,junk,junk,gaze
0.0139,-0.001034,0.005522,1.99E-4,0.004356,5.075E-4,0.003505,6.954E-4,0.004294,-0.002203,0.002911,-0.001022,0.002455,-0.001356,0.001739,-6.364E-4,junk,junk,gaze
0.01438,-0.001009,0.006053,2.208E-4,0.004654,5.516E-4,0.003826,6.936E-4,0.00333,-0.002115,0.002516,-0.001005,0.001842,-0.001349,0.001248,-5.95E-4,junk,junk,gaze
0.01471,-9.19E-4,0.006267,2.389E-4,0.005055,5.487E-4,0.00404,6.746E-4,0.00344,-0.00198,0.002823,-9.613E-4,0.00216,-0.001311,0.001546,-5.926E-4,junk,junk,gaze
0.01376,-9.619E-4,0.005519,2.225E-4,0.004299,5.411E-4,0.003597,7.342E-4,0.003008,-0.001978,0.003036,-9.281E-4,0.002406,-0.001288,0.001754,-5.667E-4,junk,junk,gaze
0.01502,-8.827E-4,0.006135,2.295E-4,0.004859,5.773E-4,0.003983,6.84E-4,0.002199,-0.001999,0.002595,-9.356E-4,0.001989,-0.001319,0.001293,-5.859E-4,junk,junk,gaze
0.01543,-8.933E-4,0.006509,2.846E-4,0.005261,5.704E-4,0.004202,7.171E-4,0.002071,-0.00207,0.002642,-9.177E-4,0.00195,-0.0013,0.001341,-5.838E-4,junk,junk,gaze
0.01411,-8.642E-4,0.005829,2.344E-4,0.00454,5.398E-4,0.00375,7.211E-4,0.001828,-0.002136,0.00276,-8.993E-4,0.002204,-0.001292,0.00152,-5.683E-4,junk,junk,gaze
0.01504,-7.951E-4,0.006006,2.209E-4,0.004873,5.767E-4,0.003871,7.135E-4,0.001376,-0.002222,0.002373,-9.152E-4,0.001819,-0.001303,0.001142,-5.619E-4,junk,junk,gaze
0.01475,-7.939E-4,0.006454,2.858E-4,0.005158,5.353E-4,0.004223,7.071E-4,0.001028,-0.002133,0.00247,-8.97E-4,0.00189,-0.001283,0.00129,-5.612E-4,junk,junk,gaze
0.01372,-8.549E-4,0.005633,2.092E-4,0.004378,5.482E-4,0.003532,7.076E-4,0.001133,-0.002173,0.002506,-8.877E-4,0.002091,-0.001293,0.001386,-5.805E-4,junk,junk,gaze
0.01428,-8.723E-4,0.005862,2.462E-4,0.004683,5.698E-4,0.003741,6.964E-4,0.001541,-0.002328,0.002265,-8.832E-4,0.001698,-0.001286,0.001086,-5.543E-4,junk,junk,gaze
0.01399,-9.344E-4,0.006244,2.741E-4,0.004771,5.651E-4,0.003972,7.054E-4,0.002037,-0.00241,0.002511,-8.675E-4,0.002008,-0.001276,0.001374,-5.607E-4,junk,junk,gaze
0.01292,-9.62E-4,0.005239,2.049E-4,0.00418,5.358E-4,0.003372,6.541E-4,0.002212,-0.002419,0.002509,-8.888E-4,0.002115,-0.001273,0.001427,-5.828E-4,junk,junk,gaze
0.01364,-0.001022,0.005762,2.336E-4,0.00454,5.072E-4,0.003683,7.016E-4,0.002259,-0.002395,0.002253,-8.887E-4,0.001713,-0.001264,0.001106,-5.482E-4,junk,junk,gaze
0.0135,-9.052E-4,0.006058,2.51E-4,0.00469,5.562E-4,0.003893,6.605E-4,0.002529,-0.002316,0.002541,-8.649E-4,0.002128,-0.001267,0.001469,-5.363E-4,junk,junk,gaze
0.01308,-9.753E-4,0.0053,2.024E-4,0.004229,5.272E-4,0.003412,6.458E-4,0.002807,-0.002285,0.002647,-8.802E-4,0.002285,-0.001242,0.001601,-5.552E-4,junk,junk,gaze
0.0135,-9.573E-4,0.005936,2.856E-4,0.00465,5.401E-4,0.003849,7.012E-4,0.003216,-0.002304,0.002288,-8.816E-4,0.001748,-0.00125,0.001226,-5.317E-4,junk,junk,gaze
0.01374,-9.426E-4,0.005967,2.554E-4,0.004803,5.506E-4,0.003898,6.529E-4,0.00393,-0.002296,0.002584,-8.595E-4,0.002123,-0.001236,0.001492,-5.648E-4,junk,junk,gaze
0.01361,-9.806E-4,0.005489,2.38E-4,0.004427,5.364E-4,0.003595,7.187E-4,0.003715,-0.00213,0.002683,-8.54E-4,0.00232,-0.001236,0.00162,-5.219E-4,junk,junk,gaze
0.01431,-8.986E-4,0.006201,2.791E-4,0.004947,5.564E-4,0.004167,6.755E-4,0.003327,-0.002066,0.002274,-8.499E-4,0.001764,-0.001246,0.001164,-4.947E-4,junk,junk,gaze
0.01439,-9.551E-4,0.006063,2.981E-4,0.005021,5.598E-4,0.004062,6.625E-4,0.003393,-0.001974,0.002535,-8.288E-4,0.002084,-0.001219,0.001448,-5.142E-4,junk,junk,gaze
0.01373,-9.547E-4,0.005442,2.49E-4,0.004282,5.446E-4,0.00362,7.021E-4,0.002661,-0.001915,0.002416,-8.286E-4,0.001885,-0.001198,0.001304,-4.993E-4,junk,junk,gaze
0.01489,-8.558E-4,0.006138,2.643E-4,0.00501,5.843E-4,0.004098,6.79E-4,0.002791,-0.001926,0.002248,-8.14E-4,0.00173,-0.001198,0.001158,-4.951E-4,junk,junk,gaze
0.01486,-8.853E-4,0.006262,3.0E-4,0.005139,5.79E-4,0.004209,7.061E-4,0.002862,-0.001992,0.002346,-8.056E-4,0.001858,-0.001195,0.001249,-4.969E-4,junk,junk,gaze
0.0136,-8.693E-4,0.005457,2.424E-4,0.004342,5.399E-4,0.003643,7.026E-4,0.002232,-0.002027,0.002014,-7.95E-4,0.001435,-0.001205,9.229E-4,-4.761E-4,junk,junk,gaze
0.0146,-8.538E-4,0.005886,2.468E-4,0.004812,5.862E-4,0.0039,6.548E-4,0.001995,-0.002023,0.002209,-7.894E-4,0.001708,-0.001203,0.001084,-4.761E-4,junk,junk,gaze
