A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition,feedback1,feedback2
0.002649,2.516E-4,-7.925E-5,-9.079E-5,2.46E-4,-2.695E-5,6.459E-4,1.665E-4,0.008427,0.006375,0.002711,0.001106,0.002866,8.124E-4,0.003035,0.001083,junk,junk,junk
0.002874,2.834E-4,-6.747E-4,-8.326E-5,-5.646E-5,2.837E-5,5.37E-4,2.492E-4,0.006611,0.008132,0.002679,0.001125,0.00285,0.001073,0.002963,9.518E-4,junk,junk,junk
0.003055,3.684E-4,-6.252E-4,-3.226E-5,-1.604E-4,8.823E-5,6.04E-4,2.607E-4,0.007647,0.007553,0.002766,9.694E-4,0.003004,8.915E-4,0.002359,0.001133,junk,junk,junk
0.00374,3.238E-4,5.045E-5,-2.954E-5,4.125E-4,4.798E-5,0.001018,3.065E-4,0.006314,0.006921,0.002331,0.001267,0.002471,9.201E-4,0.002743,9.005E-4,junk,junk,junk
0.003599,2.068E-4,-8.31E-4,-2.981E-5,-3.5E-6,1.348E-4,7.926E-4,3.475E-4,0.008988,0.006173,0.002635,8.123E-4,0.002347,0.001062,0.002294,9.652E-4,junk,junk,junk
0.004977,7.829E-5,0.001112,1.633E-4,8.281E-4,1.882E-4,8.292E-4,1.233E-4,0.007764,0.006594,0.002553,0.001091,0.002604,9.654E-4,0.002688,8.299E-4,junk,junk,junk
0.002793,5.353E-4,-1.242E-4,9.55E-5,-3.503E-5,9.032E-5,-2.014E-4,-8.982E-5,0.006379,0.00685,0.00238,0.001027,0.002268,0.001034,0.002729,8.472E-4,junk,junk,junk
0.002204,7.408E-4,-5.43E-4,1.21E-4,-4.442E-4,9.51E-5,-4.017E-4,-1.017E-4,0.007946,0.006485,0.001958,0.001006,0.003084,7.872E-4,0.002381,8.024E-4,junk,junk,junk
0.00291,7.787E-4,2.252E-4,1.38E-4,1.077E-4,5.232E-5,-4.745E-5,-1.009E-4,0.005942,0.006917,0.002305,0.001054,0.001902,0.001094,0.002583,9.62E-4,junk,junk,junk
0.002155,6.674E-4,-8.955E-4,4.529E-5,-5.567E-4,7.368E-5,-4.301E-4,-1.115E-4,0.005626,0.006953,0.002363,8.841E-4,0.002351,0.001005,0.002346,8.053E-4,junk,junk,junk
0.002987,7.453E-4,4.653E-4,1.394E-4,1.54E-4,8.265E-5,-1.35E-6,-1.19E-4,0.006276,0.00645,0.002229,9.337E-4,0.002308,8.777E-4,0.002618,7.467E-4,junk,junk,junk
0.002932,7.797E-4,1.637E-5,1.442E-4,-4.927E-5,7.201E-5,-1.775E-4,-1.508E-4,0.005855,0.006699,0.002424,8.474E-4,0.002519,8.523E-4,0.002484,9.004E-4,junk,junk,junk
