A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,accuracy,condition
-0.001528,0.001403,-0.001798,2.492E-4,-7.859E-4,7.53E-4,-0.001783,6.917E-4,-0.00204,0.001564,-0.002298,3.1E-4,-0.002682,4.522E-4,-0.002276,9.709E-5,junk,junk
-0.002546,0.001391,-0.002768,2.223E-4,-0.001575,7.461E-4,-0.002553,7.169E-4,-0.00325,0.001512,-0.00294,1.895E-4,-0.003312,2.993E-4,-0.002738,4.152E-5,junk,junk
-0.001586,0.001403,-0.001494,3.086E-4,-4.816E-4,7.396E-4,-0.001633,7.178E-4,-0.001895,0.001665,-0.00204,3.522E-4,-0.002283,4.895E-4,-0.00201,9.462E-5,junk,junk
-0.001987,0.001358,-0.002393,1.889E-4,-0.001217,7.346E-4,-0.002219,6.832E-4,-0.00296,0.001662,-0.002883,2.473E-4,-0.003349,3.93E-4,-0.002683,8.546E-5,junk,junk
-0.001707,0.001387,-0.001819,3.292E-4,-8.629E-4,7.781E-4,-0.001834,7.095E-4,-0.002262,0.001749,-0.001983,3.003E-4,-0.002143,4.036E-4,-0.001952,5.122E-5,junk,junk
-5.555E-4,0.001367,-0.001203,3.064E-4,-2.645E-4,7.687E-4,-0.001387,7.123E-4,-0.001169,0.001818,-0.001719,3.909E-4,-0.001997,5.146E-4,-0.001767,1.072E-4,junk,junk
-0.00134,0.001384,-0.00257,1.975E-4,-0.001279,7.317E-4,-0.002181,6.744E-4,-0.002812,0.001744,-0.002917,2.467E-4,-0.003318,3.481E-4,-0.002744,1.198E-4,junk,junk
1.663E-4,0.001408,-9.405E-4,4.135E-4,2.773E-5,8.035E-4,-0.001064,7.297E-4,-8.392E-4,0.001781,-0.001208,3.819E-4,-0.001344,5.363E-4,-0.001227,7.495E-5,junk,junk
5.553E-4,0.001403,-0.001313,3.66E-4,-8.712E-5,7.842E-4,-0.001118,6.992E-4,-9.601E-4,0.00177,-0.00178,4.046E-4,-0.00203,5.408E-4,-0.001654,1.112E-4,junk,junk
-4.161E-4,0.001153,-0.002323,1.755E-4,-9.472E-4,6.409E-4,-0.001749,6.367E-4,-0.003022,0.001667,-0.002927,2.818E-4,-0.003251,4.039E-4,-0.002243,1.469E-4,junk,junk
3.668E-4,0.001204,-0.001127,2.994E-4,9.733E-5,6.763E-4,-8.704E-4,6.679E-4,-0.001262,0.001719,-0.001676,3.728E-4,-0.001851,5.356E-4,-0.001287,1.72E-4,junk,junk
1.224E-4,0.001184,-0.001681,3.19E-4,-3.662E-4,6.696E-4,-0.001294,6.753E-4,-0.001969,0.001691,-0.001908,2.987E-4,-0.002117,4.306E-4,-0.001534,1.055E-4,junk,junk
3.412E-4,0.001243,-0.00135,2.537E-4,-5.33E-5,6.733E-4,-0.001005,6.476E-4,-0.001456,0.001725,-0.001965,3.312E-4,-0.002222,4.877E-4,-0.00163,1.568E-4,junk,junk
6.811E-4,0.001269,-8.465E-4,3.53E-4,3.615E-4,7.031E-4,-6.956E-4,6.798E-4,-7.65E-4,0.001776,-0.001241,3.693E-4,-0.001392,5.342E-4,-9.989E-4,1.213E-4,junk,junk
4.102E-5,0.001242,-0.002387,2.338E-4,-8.388E-4,6.862E-4,-0.001796,6.769E-4,-0.002222,0.001677,-0.002629,2.414E-4,-0.002965,3.318E-4,-0.002132,9.947E-5,junk,junk
0.001434,0.001225,-9.066E-4,3.313E-4,3.039E-4,7.492E-4,-7.282E-4,6.895E-4,-4.503E-4,0.001844,-0.001477,3.877E-4,-0.001671,5.26E-4,-0.001207,1.475E-4,junk,junk
0.0012,0.001253,-6.708E-4,4.253E-4,4.619E-4,7.501E-4,-6.618E-4,7.118E-4,-2.288E-4,0.001767,-0.001036,4.047E-4,-0.001057,5.313E-4,-8.04E-4,9.434E-5,junk,junk
6.637E-4,0.001219,-0.001982,2.259E-4,-5.691E-4,6.969E-4,-0.001581,6.807E-4,-0.001857,0.001678,-0.002548,2.904E-4,-0.002952,3.889E-4,-0.002155,1.238E-4,junk,junk
0.001589,0.00133,-8.206E-4,3.783E-4,4.416E-4,7.518E-4,-7.318E-4,7.164E-4,-2.892E-4,0.001777,-0.001335,4.056E-4,-0.001532,5.597E-4,-0.001147,1.358E-4,junk,junk
3.346E-4,0.001397,-0.001489,3.799E-4,-1.735E-4,7.332E-4,-0.001204,7.377E-4,-0.001137,0.001655,-0.001578,3.125E-4,-0.001759,4.416E-4,-0.001381,7.068E-5,junk,junk
6.63E-4,0.001317,-0.001731,2.739E-4,-2.665E-4,7.312E-4,-0.001353,6.859E-4,-0.001492,0.001712,-0.002114,3.107E-4,-0.002507,4.694E-4,-0.001956,1.181E-4,junk,junk
6.469E-4,0.001433,-9.798E-4,3.443E-4,1.892E-4,7.44E-4,-9.15E-4,7.062E-4,-7.093E-4,0.001745,-0.001421,3.871E-4,-0.001621,5.569E-4,-0.001329,9.662E-5,junk,junk
