A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,accuracy,condition
-0.007041,1.835E-4,-0.00104,-3.565E-4,-7.05E-4,-3.29E-4,-8.096E-4,-4.471E-4,6.648E-4,5.798E-4,0.001165,1.791E-4,-7.827E-4,1.692E-4,2.816E-5,-2.391E-4,junk,hard
-0.006691,1.903E-4,-0.001167,-3.481E-4,-8.986E-4,-3.009E-4,-9.893E-4,-4.81E-4,5.139E-4,6.299E-4,9.194E-4,1.866E-4,-0.001045,1.649E-4,-2.631E-4,-2.485E-4,junk,hard
-0.006529,1.874E-4,-0.001065,-3.477E-4,-6.858E-4,-3.305E-4,-8.605E-4,-4.645E-4,6.89E-4,6.543E-4,0.001101,1.792E-4,-8.993E-4,1.626E-4,-7.654E-5,-2.76E-4,junk,hard
-0.007141,2.985E-4,-0.001093,-3.66E-4,-8.558E-4,-3.014E-4,-8.266E-4,-4.864E-4,3.513E-4,6.269E-4,9.951E-4,1.72E-4,-9.13E-4,1.377E-4,-1.377E-4,-2.816E-4,junk,hard
-0.00668,2.132E-4,-0.001181,-3.536E-4,-7.962E-4,-3.147E-4,-9.514E-4,-4.939E-4,6.595E-4,7.124E-4,9.451E-4,1.809E-4,-0.001053,1.589E-4,-2.318E-4,-3.039E-4,junk,hard
-0.00712,2.719E-4,-0.001045,-3.687E-4,-7.483E-4,-3.32E-4,-8.116E-4,-4.971E-4,6.713E-4,6.854E-4,0.00111,1.676E-4,-8.611E-4,1.404E-4,-8.967E-5,-3.185E-4,junk,hard
-0.007118,2.867E-4,-0.001192,-3.848E-4,-0.001012,-3.257E-4,-0.00102,-5.395E-4,4.002E-4,7.756E-4,8.441E-4,1.809E-4,-0.00113,1.64E-4,-3.91E-4,-3.422E-4,junk,hard
-0.006864,2.666E-4,-0.001052,-3.726E-4,-8.15E-4,-3.443E-4,-9.123E-4,-5.171E-4,5.582E-4,8.361E-4,0.001018,1.732E-4,-9.888E-4,1.602E-4,-2.757E-4,-3.867E-4,junk,hard
-0.00729,2.104E-4,-0.001024,-3.776E-4,-9.682E-4,-3.386E-4,-8.907E-4,-5.231E-4,7.706E-5,8.445E-4,9.632E-4,1.58E-4,-9.932E-4,1.476E-4,-3.425E-4,-4.058E-4,junk,hard
-0.007123,2.295E-4,-0.001086,-3.587E-4,-9.708E-4,-3.65E-4,-0.001058,-5.241E-4,7.133E-4,9.629E-4,9.668E-4,1.532E-4,-0.001004,1.734E-4,-4.775E-4,-4.177E-4,junk,hard
-0.007688,2.856E-4,-9.67E-4,-3.913E-4,-9.567E-4,-4.158E-4,-8.646E-4,-5.127E-4,8.812E-4,0.001015,0.001224,1.574E-4,-7.112E-4,1.713E-4,-2.473E-4,-4.342E-4,junk,hard
-0.006958,2.105E-4,-0.001073,-4.151E-4,-0.001063,-3.829E-4,-9.16E-4,-4.899E-4,1.623E-4,0.001107,9.515E-4,1.918E-4,-9.126E-4,2.104E-4,-5.855E-4,-4.348E-4,junk,hard
-0.006504,1.675E-4,-0.001087,-4.705E-4,-9.464E-4,-4.568E-4,-8.502E-4,-4.545E-4,5.392E-4,0.001362,0.001191,2.517E-4,-6.074E-4,2.995E-4,-4.238E-4,-3.782E-4,junk,hard
0.007122,1.325E-4,0.002308,7.877E-5,0.001277,2.769E-5,0.001693,1.656E-4,0.005593,0.001218,0.002235,1.525E-4,0.001322,1.793E-4,0.001766,8.736E-6,junk,hard
0.005586,0.00137,0.002548,2.98E-4,8.785E-4,1.123E-4,0.001446,4.495E-4,0.002759,6.281E-4,0.00135,2.25E-5,4.715E-4,-1.417E-5,0.001208,-5.424E-5,junk,hard
-0.00158,5.354E-4,1.209E-5,-1.158E-4,2.242E-4,-7.983E-5,1.405E-4,-6.523E-5,-2.393E-4,2.1E-4,0.001204,4.077E-5,2.256E-5,-3.835E-5,9.061E-4,-6.69E-5,noguesses,rest
0.007322,-0.001605,0.003332,-0.001141,0.003408,-8.061E-4,0.002896,-7.181E-4,0.009492,-2.691E-4,0.005147,-6.655E-4,0.001823,-3.233E-4,0.003015,-4.402E-4,noguesses,rest
0.007903,-0.00152,0.003494,-0.00117,0.003618,-7.823E-4,0.003175,-7.439E-4,0.009704,-3.935E-4,0.005403,-6.654E-4,0.002159,-3.297E-4,0.0032,-4.58E-4,noguesses,rest
0.007524,-0.001544,0.003293,-0.001144,0.003369,-8.129E-4,0.0028,-7.428E-4,0.00903,-3.374E-4,0.005157,-6.587E-4,0.001745,-3.107E-4,0.002838,-4.826E-4,noguesses,rest
0.007438,-0.001498,0.003532,-0.001126,0.00351,-8.002E-4,0.003086,-7.413E-4,0.009747,-2.677E-4,0.005575,-6.119E-4,0.002017,-2.834E-4,0.003085,-4.494E-4,noguesses,rest
0.007872,-0.001556,0.003497,-0.001134,0.003697,-7.86E-4,0.003141,-7.531E-4,0.01003,-3.484E-4,0.005667,-6.26E-4,0.002294,-3.015E-4,0.003237,-4.682E-4,noguesses,rest
0.007445,-0.001563,0.003369,-0.001122,0.003361,-8.055E-4,0.002875,-7.368E-4,0.009603,-2.422E-4,0.005458,-6.15E-4,0.001848,-2.844E-4,0.002981,-4.586E-4,noguesses,rest
0.007781,-0.001534,0.003603,-0.001111,0.003618,-7.926E-4,0.003239,-7.536E-4,0.01035,-2.323E-4,0.005855,-5.768E-4,0.002289,-2.727E-4,0.003282,-4.493E-4,noguesses,rest
0.007685,-0.001512,0.003375,-0.001103,0.003539,-7.925E-4,0.00297,-7.39E-4,0.009959,-2.645E-4,0.005646,-6.073E-4,0.002176,-2.894E-4,0.003159,-4.754E-4,noguesses,rest
0.007392,-0.001494,0.003462,-0.001094,0.003434,-7.99E-4,0.003035,-7.439E-4,0.009976,-1.71E-4,0.005721,-5.721E-4,0.00205,-2.71E-4,0.003103,-4.425E-4,noguesses,rest
0.007813,-0.001447,0.003535,-0.001093,0.003707,-7.803E-4,0.003222,-7.528E-4,0.01057,-2.022E-4,0.00597,-5.659E-4,0.002444,-2.633E-4,0.003373,-4.508E-4,noguesses,rest
0.007328,-0.001446,0.003201,-0.001091,0.003369,-7.994E-4,0.002877,-7.48E-4,0.009799,-1.539E-4,0.005613,-5.635E-4,0.002049,-2.629E-4,0.003078,-4.502E-4,noguesses,rest
0.007472,-0.00147,0.003493,-0.001057,0.003545,-8.045E-4,0.003193,-7.515E-4,0.01035,-6.501E-5,0.005943,-5.291E-4,0.002307,-2.439E-4,0.003307,-4.29E-4,noguesses,rest
0.007512,-0.001374,0.003413,-0.001077,0.003668,-7.779E-4,0.003137,-7.394E-4,0.0106,-2.072E-4,0.00592,-5.471E-4,0.002505,-2.59E-4,0.003393,-4.596E-4,noguesses,rest
0.006991,-0.001495,0.00321,-0.001055,0.003296,-7.906E-4,0.002909,-7.495E-4,0.009614,-6.191E-5,0.005612,-5.281E-4,0.002008,-2.352E-4,0.003091,-4.427E-4,noguesses,rest
