Uk1,YAxis,Uk2,PRbpm,SpO2,Time
149,3,0,62,97,2014-06-27 16:10:46.964867
149,3,0,62,97,2014-06-27 16:10:46.981959
149,4,0,62,97,2014-06-27 16:10:46.998069
149,6,0,62,97,2014-06-27 16:10:47.014929
149,9,1,62,97,2014-06-27 16:10:47.031883
149,12,1,62,97,2014-06-27 16:10:47.048322
149,15,1,62,97,2014-06-27 16:10:47.065184
149,18,2,62,97,2014-06-27 16:10:47.081847
149,22,2,62,97,2014-06-27 16:10:47.098288
149,24,3,62,97,2014-06-27 16:10:47.115303
149,27,3,62,97,2014-06-27 16:10:47.132160
149,29,3,62,97,2014-06-27 16:10:47.148766
149,31,3,62,97,2014-06-27 16:10:47.165218
149,32,4,62,97,2014-06-27 16:10:47.181954
149,33,4,62,97,2014-06-27 16:10:47.198540
149,33,4,62,97,2014-06-27 16:10:47.215405
149,33,4,62,97,2014-06-27 16:10:47.232288
149,33,4,62,97,2014-06-27 16:10:47.248771
149,33,4,62,97,2014-06-27 16:10:47.265387
149,33,4,62,97,2014-06-27 16:10:47.282689
149,33,4,62,97,2014-06-27 16:10:47.298899
149,33,4,62,97,2014-06-27 16:10:47.315722
149,33,4,62,97,2014-06-27 16:10:47.332604
149,33,4,62,97,2014-06-27 16:10:47.349100
149,33,4,62,97,2014-06-27 16:10:47.365839
149,33,4,62,97,2014-06-27 16:10:47.382413
149,34,4,62,97,2014-06-27 16:10:47.398963
149,33,4,62,97,2014-06-27 16:10:47.415795
149,33,4,62,97,2014-06-27 16:10:47.432825
149,32,4,62,97,2014-06-27 16:10:47.449054
149,30,3,62,97,2014-06-27 16:10:47.465892
149,28,3,62,97,2014-06-27 16:10:47.482805
149,25,3,62,97,2014-06-27 16:10:47.499314
149,23,2,62,97,2014-06-27 16:10:47.516087
149,21,2,62,97,2014-06-27 16:10:47.532751
149,20,2,62,97,2014-06-27 16:10:47.549209
149,20,2,62,97,2014-06-27 16:10:47.565951
149,20,2,62,97,2014-06-27 16:10:47.583222
149,20,2,62,97,2014-06-27 16:10:47.599393
149,21,2,62,97,2014-06-27 16:10:47.616173
149,21,2,62,97,2014-06-27 16:10:47.633118
149,21,2,62,97,2014-06-27 16:10:47.649555
149,22,2,62,97,2014-06-27 16:10:47.666257
149,22,2,62,97,2014-06-27 16:10:47.683230
149,22,2,62,97,2014-06-27 16:10:47.699575
149,22,2,62,97,2014-06-27 16:10:47.716409
149,22,2,62,97,2014-06-27 16:10:47.733299
149,22,2,62,97,2014-06-27 16:10:47.749656
149,21,2,62,97,2014-06-27 16:10:47.766434
149,21,2,62,97,2014-06-27 16:10:47.783546
149,20,2,62,97,2014-06-27 16:10:47.799935
149,19,2,62,97,2014-06-27 16:10:47.816581
149,18,2,62,97,2014-06-27 16:10:47.833506
149,18,2,62,97,2014-06-27 16:10:47.850163
149,17,2,62,97,2014-06-27 16:10:47.866574
149,17,2,62,97,2014-06-27 16:10:47.883677
149,17,2,62,97,2014-06-27 16:10:47.900122
149,17,2,62,97,2014-06-27 16:10:47.916961
149,16,2,62,97,2014-06-27 16:10:47.933791
149,16,2,62,97,2014-06-27 16:10:47.950361
149,16,2,62,97,2014-06-27 16:10:47.967056
149,16,2,62,97,2014-06-27 16:10:47.983543
149,16,2,62,97,2014-06-27 16:10:48.000329
149,16,2,62,97,2014-06-27 16:10:48.016940
149,15,1,62,97,2014-06-27 16:10:48.033795
149,15,1,62,97,2014-06-27 16:10:48.050312
149,14,1,62,97,2014-06-27 16:10:48.067069
149,13,1,62,97,2014-06-27 16:10:48.083751
149,13,1,62,97,2014-06-27 16:10:48.100747
149,12,1,62,97,2014-06-27 16:10:48.117361
149,12,1,62,97,2014-06-27 16:10:48.134192
149,12,1,62,97,2014-06-27 16:10:48.150953
149,11,1,62,97,2014-06-27 16:10:48.167385
149,11,1,62,97,2014-06-27 16:10:48.184370
149,12,1,62,97,2014-06-27 16:10:48.200875
149,13,1,62,97,2014-06-27 16:10:48.217359
149,15,1,62,97,2014-06-27 16:10:48.234231
149,16,2,62,97,2014-06-27 16:10:48.251065
149,18,2,62,97,2014-06-27 16:10:48.267460
149,20,2,62,97,2014-06-27 16:10:48.284395
149,22,2,62,97,2014-06-27 16:10:48.300920
149,23,2,62,97,2014-06-27 16:10:48.317626
149,24,3,62,97,2014-06-27 16:10:48.334538
149,26,3,62,97,2014-06-27 16:10:48.351076
149,27,3,62,97,2014-06-27 16:10:48.367741
149,28,3,62,97,2014-06-27 16:10:48.384337
149,28,3,62,97,2014-06-27 16:10:48.401159
149,28,3,62,97,2014-06-27 16:10:48.417851
149,29,3,62,97,2014-06-27 16:10:48.434869
149,29,3,62,97,2014-06-27 16:10:48.451099
149,29,3,62,97,2014-06-27 16:10:48.468103
149,30,3,62,97,2014-06-27 16:10:48.484629
149,30,3,62,97,2014-06-27 16:10:48.501348
149,31,3,62,97,2014-06-27 16:10:48.517971
149,32,4,62,97,2014-06-27 16:10:48.534591
149,32,4,62,97,2014-06-27 16:10:48.551505
149,32,4,62,97,2014-06-27 16:10:48.568273
149,33,4,62,97,2014-06-27 16:10:48.584896
149,33,4,62,97,2014-06-27 16:10:48.601811
149,33,4,62,97,2014-06-27 16:10:48.618253
149,33,4,62,97,2014-06-27 16:10:48.634943
149,34,4,62,97,2014-06-27 16:10:48.651711
149,34,4,62,97,2014-06-27 16:10:48.668380
149,34,4,62,97,2014-06-27 16:10:48.685160
149,34,4,62,97,2014-06-27 16:10:48.701742
149,34,4,62,97,2014-06-27 16:10:48.718674
149,34,4,62,97,2014-06-27 16:10:48.735462
149,34,4,62,97,2014-06-27 16:10:48.752247
149,35,4,62,97,2014-06-27 16:10:48.768659
149,36,4,62,97,2014-06-27 16:10:48.785607
149,36,4,62,97,2014-06-27 16:10:48.802490
149,38,4,62,97,2014-06-27 16:10:48.818766
149,39,4,62,97,2014-06-27 16:10:48.835324
149,40,5,62,97,2014-06-27 16:10:48.852291
149,42,5,62,97,2014-06-27 16:10:48.868874
149,44,5,62,97,2014-06-27 16:10:48.885691
149,45,5,62,97,2014-06-27 16:10:48.902863
149,48,6,62,97,2014-06-27 16:10:48.919068
149,52,6,62,97,2014-06-27 16:10:48.935579
149,56,7,62,97,2014-06-27 16:10:48.953092
149,60,7,62,97,2014-06-27 16:10:48.968958
149,64,8,62,97,2014-06-27 16:10:48.985864
149,69,8,62,97,2014-06-27 16:10:49.002525
149,72,9,62,97,2014-06-27 16:10:49.019286
149,75,9,62,97,2014-06-27 16:10:49.035821
149,78,9,62,97,2014-06-27 16:10:49.052483
149,81,10,62,97,2014-06-27 16:10:49.069445
149,82,10,62,97,2014-06-27 16:10:49.085665
149,83,10,62,97,2014-06-27 16:10:49.102544
149,84,10,62,97,2014-06-27 16:10:49.119619
149,84,10,62,97,2014-06-27 16:10:49.135911
149,84,10,62,97,2014-06-27 16:10:49.152601
149,83,10,62,97,2014-06-27 16:10:49.169363
149,83,10,62,97,2014-06-27 16:10:49.186239
149,82,10,62,97,2014-06-27 16:10:49.202768
149,81,10,62,97,2014-06-27 16:10:49.219746
149,80,10,62,97,2014-06-27 16:10:49.236113
149,80,10,62,97,2014-06-27 16:10:49.252731
149,79,9,62,97,2014-06-27 16:10:49.269829
149,78,9,62,97,2014-06-27 16:10:49.286266
149,78,9,62,97,2014-06-27 16:10:49.302794
149,77,9,62,97,2014-06-27 16:10:49.319929
149,77,9,62,97,2014-06-27 16:10:49.336367
149,76,9,62,97,2014-06-27 16:10:49.353173
149,76,9,62,97,2014-06-27 16:10:49.370014
149,75,9,62,97,2014-06-27 16:10:49.386328
149,74,9,62,97,2014-06-27 16:10:49.403080
