Subject:	S202
Project:	glassroutes
Time:	2015-01-19_15-28-37

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
17983	57330.221	3575.534	h;62.0;38.0	h	62.0	38.0	
17989	57330.712	3576.038	h;56.7;43.3	h	56.7	43.3	
17995	57331.239	3576.522	h;57.2;42.8	h	57.2	42.8	
18002	57331.837	3577.130	h;56.5;43.5	h	56.5	43.5	
18008	57332.327	3577.635	h;57.1;42.9	h	57.1	42.9	
18013	57332.717	3578.075	e;18.1;81.9	e	18.1	81.9	
18019	57333.225	3578.580	h;68.1;31.9	h	68.1	31.9	
18025	57333.816	3579.105	h;68.5;31.5	h	68.5	31.5	
18031	57334.228	3579.609	h;70.5;29.5	h	70.5	29.5	
18038	57334.872	3580.176	e;0.0;100.0	e	0.0	100.0	
18043	57335.232	3580.618	e;24.5;75.5	e	24.5	75.5	
18050	57335.850	3581.184	e;0.0;100.0	e	0.0	100.0	
18055	57336.305	3581.647	h;61.0;39.0	h	61.0	39.0	
18061	57336.792	3582.151	e;3.0;97.0	e	3.0	97.0	
18067	57337.388	3582.676	e;1.0;99.0	e	1.0	99.0	
18073	57337.861	3583.159	e;0.0;100.0	e	0.0	100.0	
18080	57338.407	3583.727	h;99.6;0.4	h	99.6	0.4	
18085	57338.898	3584.188	h;73.1;26.9	h	73.1	26.9	
18091	57339.356	3584.672	h;72.2;27.8	h	72.2	27.8	
18097	57339.872	3585.217	e;0.0;100.0	e	0.0	100.0	
18103	57340.400	3585.699	h;98.4;1.6	h	98.4	1.6	
18109	57340.897	3586.183	h;100.0;0.0	h	100.0	0.0	
18116	57341.487	3586.793	h;97.8;2.2	h	97.8	2.2	
18121	57341.858	3587.212	e;3.2;96.8	e	3.2	96.8	
18134	57343.059	3588.326	h;100.0;0.0	h	100.0	0.0	
18139	57343.449	3588.766	h;100.0;0.0	h	100.0	0.0	
18145	57343.951	3589.271	e;0.0;100.0	e	0.0	100.0	
18151	57344.477	3589.755	h;100.0;0.0	h	100.0	0.0	
18157	57344.936	3590.300	h;100.0;0.0	h	100.0	0.0	
18164	57345.555	3590.868	e;37.1;62.9	e	37.1	62.9	
18170	57346.079	3591.392	e;0.0;100.0	e	0.0	100.0	
18175	57346.513	3591.813	h;100.0;0.0	h	100.0	0.0	
18181	57347.018	3592.338	e;0.0;100.0	e	0.0	100.0	
18187	57347.468	3592.820	h;100.0;0.0	h	100.0	0.0	
18193	57347.968	3593.325	e;20.4;79.6	e	20.4	79.6	
18199	57348.558	3593.851	e;0.0;100.0	e	0.0	100.0	
18205	57348.972	3594.354	h;99.9;0.1	h	99.9	0.1	
18211	57349.561	3594.880	h;66.8;33.2	h	66.8	33.2	
18217	57350.049	3595.363	h;66.6;33.4	h	66.6	33.4	
18223	57350.576	3595.866	h;67.1;32.9	h	67.1	32.9	
18229	57351.073	3596.392	e;0.0;100.0	e	0.0	100.0	
18235	57351.495	3596.876	e;0.0;100.0	e	0.0	100.0	
18241	57352.060	3597.421	h;51.0;49.0	h	51.0	49.0	
18247	57352.563	3597.926	h;56.4;43.6	h	56.4	43.6	
18253	57353.130	3598.451	h;56.6;43.4	h	56.6	43.4	
18259	57353.587	3598.934	h;56.4;43.6	h	56.4	43.6	
18265	57354.106	3599.417	e;9.9;90.1	e	9.9	90.1	
18271	57354.632	3599.964	h;75.5;24.5	h	75.5	24.5	
18277	57355.117	3600.446	h;67.9;32.1	h	67.9	32.1	
18283	57355.704	3600.993	h;67.7;32.3	h	67.7	32.3	
18289	57356.118	3601.476	h;67.9;32.1	h	67.9	32.1	
18295	57356.661	3602.001	h;68.3;31.7	h	68.3	31.7	
18301	57357.169	3602.504	e;8.7;91.3	e	8.7	91.3	
18307	57357.670	3602.987	e;38.8;61.2	e	38.8	61.2	
18313	57358.234	3603.533	h;57.3;42.7	h	57.3	42.7	
18319	57358.724	3604.016	h;56.7;43.3	h	56.7	43.3	
18325	57359.228	3604.542	h;99.8;0.2	h	99.8	0.2	
18331	57359.672	3605.045	h;100.0;0.0	h	100.0	0.0	
18337	57360.247	3605.529	h;100.0;0.0	h	100.0	0.0	
18343	57360.663	3606.074	h;67.2;32.8	h	67.2	32.8	
18349	57361.170	3606.558	e;0.0;100.0	e	0.0	100.0	
18355	57361.736	3607.083	e;0.0;100.0	e	0.0	100.0	
18361	57362.266	3607.587	h;98.7;1.3	h	98.7	1.3	
18367	57362.749	3608.112	e;0.0;100.0	e	0.0	100.0	
18373	57363.297	3608.617	h;86.8;13.2	h	86.8	13.2	
18379	57363.751	3609.099	e;5.9;94.1	e	5.9	94.1	
18386	57364.395	3609.709	h;100.0;0.0	h	100.0	0.0	
18392	57364.881	3610.193	h;100.0;0.0	h	100.0	0.0	
18397	57365.346	3610.654	h;89.3;10.7	h	89.3	10.7	
18403	57365.757	3611.137	h;68.2;31.8	h	68.2	31.8	
18409	57366.334	3611.684	h;68.3;31.7	h	68.3	31.7	
18415	57366.801	3612.166	h;67.2;32.8	h	67.2	32.8	
18421	57367.327	3612.650	h;63.7;36.3	h	63.7	36.3	
18427	57367.854	3613.197	h;100.0;0.0	h	100.0	0.0	
18433	57368.381	3613.679	h;66.9;33.1	h	66.9	33.1	
18439	57368.901	3614.225	h;100.0;0.0	h	100.0	0.0	
18445	57369.398	3614.709	h;68.8;31.2	h	68.8	31.2	
